"","Row.names","hc_sbd_c.cluster","hc_sbd_diana_c.cluster","hc_dtw_c.cluster","hc_dtw_diana_c.cluster"
"152","Saint_Kitts_and_Nevis",1,1,2,2
"153","Saint_Lucia",1,1,2,2
"154","Saint_Vincent_and_the_Grenadines",1,1,2,2
"155","Samoa",1,1,2,2
"156","Sao_Tome_and_Principe",1,2,2,1
"157","Saudi_Arabia",1,1,1,1
"158","Senegal",1,2,2,2
"159","Serbia",1,1,1,1
"160","Serbia_and_Montenegro_former",1,1,2,2
"161","Seychelles",1,2,2,2
"162","Sierra_Leone",1,1,2,2
"163","Singapore",2,1,1,1
"164","Sint_Maarten",1,1,1,1
"165","Slovakia",1,1,2,2
"166","Slovenia",1,2,1,1
"167","Somalia",1,2,1,1
"168","South_Africa",1,1,1,1
"169","South_Korea",1,1,2,2
"170","South_Sudan",1,1,1,1
"171","Soviet_Union_former",1,1,2,2
"172","Spain",1,1,1,1
"173","Sri_Lanka",1,1,2,2
"174","Sudan",1,2,2,1
"175","Suriname",1,1,2,2
"176","Sweden",1,2,2,2
"177","Switzerland",1,2,1,1
"178","Syria",1,1,1,1
"179","Taiwan",1,1,2,2
"180","Tajikistan",1,1,1,1
"181","Tanzania",1,1,1,1
"182","Thailand",1,1,2,2
"183","Togo",1,2,1,2
"184","Tonga",1,1,2,2
"185","Trinidad_and_Tobago",1,1,2,2
"186","Tunisia",1,1,1,1
"187","Turkey",1,1,1,1
"188","Turkmenistan",1,1,1,1
"189","Turks_and_Caicos_Islands",2,2,1,1
"190","Uganda",1,1,1,1
"191","Ukraine",1,1,1,1
"192","United_Arab_Emirates",1,1,1,1
"193","United_Kingdom",1,1,2,2
"194","United_States",1,2,2,1
"195","Uruguay",1,1,2,2
"196","Uzbekistan",1,1,2,2
"197","Venezuela",1,1,1,1
"198","Vietnam",1,2,1,1
"199","Virgin_Islands",2,2,1,1
"200","Yemen",1,2,1,1
"201","Zambia",1,1,2,2
"202","Zimbabwe",1,1,2,2
