"","Row.names","hc_sbd_c.cluster","hc_sbd_diana_c.cluster","hc_dtw_c.cluster","hc_dtw_diana_c.cluster"
"62","Estonia",1,1,2,2
"63","Eswatini",1,2,2,2
"64","Ethiopia",1,2,2,2
"65","Fiji",1,1,2,2
"66","Finland",1,2,2,2
"67","France",1,1,1,1
"68","French_Polynesia",2,2,1,1
"69","Gabon",1,1,1,1
"70","Gambia",1,1,1,1
"71","Georgia",1,1,2,2
"72","Germany",1,2,2,2
"73","Ghana",1,1,1,1
"74","Greece",1,1,2,1
"75","Grenada",1,2,2,2
"76","Guatemala",1,2,2,1
"77","Guinea",1,1,1,1
"78","Guinea.Bissau",1,2,2,2
"79","Guyana",1,1,2,2
"80","Haiti",1,1,2,2
"81","Honduras",1,1,1,1
"82","Hong_Kong",1,1,2,2
"83","Hungary",1,2,2,2
"84","Iceland",1,2,2,2
"85","India",1,1,1,1
"86","Indonesia",1,1,2,2
"87","Iran",1,2,2,2
"88","Iraq",1,1,1,1
"89","Ireland",1,1,2,1
"90","Israel",1,2,2,2
"91","Italy",1,1,1,1
"92","Jamaica",1,2,2,1
"93","Japan",1,2,2,1
"94","Jordan",1,2,1,1
"95","Kazakhstan",1,2,1,2
"96","Kenya",1,1,1,1
"97","Kosovo",1,2,1,1
"98","Kuwait",1,2,1,1
"99","Kyrgyzstan",1,1,1,1
"100","Laos",1,1,2,2
"101","Latvia",1,1,2,2
"102","Lebanon",1,1,2,2
"103","Lesotho",1,2,1,2
"104","Liberia",1,1,2,2
"105","Libya",1,1,1,1
"106","Lithuania",1,1,2,2
"107","Luxembourg",2,2,1,1
"108","Macau",1,1,2,2
"109","Madagascar",1,1,1,1
"110","Malawi",1,1,1,1
"111","Malaysia",1,2,2,1
"112","Mali",1,1,1,1
"113","Malta",2,2,2,2
"114","Marshall_Islands",2,2,2,2
"115","Mauritania",1,1,2,2
"116","Mauritius",2,2,2,2
"117","Mexico",1,1,2,1
"118","Micronesia",1,1,2,2
"119","Moldova",1,2,1,1
"120","Mongolia",1,1,1,1
"121","Montenegro",1,2,2,2
"122","Montserrat",1,1,2,2
"123","Morocco",1,1,2,2
"124","Mozambique",1,2,2,2
"125","Namibia",1,2,1,1
"126","Nepal",1,1,1,1
"127","Netherlands",1,2,2,2
"128","Netherlands_Antilles_former",1,1,2,2
"129","New_Zealand",1,1,1,1
"130","Nicaragua",1,1,2,2
"131","Niger",1,1,2,2
"132","Nigeria",1,2,1,1
"133","North_Korea",1,2,1,1
"134","North_Macedonia",1,2,1,1
"135","Norway",1,2,1,1
"136","Oman",1,1,1,1
"137","Pakistan",1,2,2,2
"138","Palau",1,1,2,2
"139","Panama",1,2,2,2
"140","Papua_New_Guinea",2,2,1,1
"141","Paraguay",1,1,2,1
"142","Peru",1,2,2,2
"143","Philippines",1,2,2,2
"144","Poland",1,1,2,2
"145","Portugal",1,1,2,1
"146","Qatar",1,1,1,1
"147","Romania",1,1,2,2
"148","Russia",1,1,2,2
"149","Rwanda",1,1,1,1
"150","Saint_Kitts_and_Nevis",1,2,2,2
"151","Saint_Lucia",1,2,2,2
"152","Saint_Vincent_and_the_Grenadines",1,2,2,2
"153","Samoa",1,2,1,1
"154","Saudi_Arabia",1,1,1,1
"155","Senegal",1,1,2,1
"156","Serbia",1,1,1,1
"157","Serbia_and_Montenegro_former",1,1,2,2
"158","Seychelles",2,2,2,2
"159","Sierra_Leone",1,1,2,2
"160","Singapore",1,2,2,2
"161","Sint_Maarten",1,1,2,1
"162","Slovakia",1,2,2,2
"163","Slovenia",1,2,1,1
"164","Somalia",1,1,2,2
"165","South_Africa",1,2,1,2
"166","South_Korea",1,2,2,1
"167","South_Sudan",1,2,1,1
"168","Soviet_Union_former",1,1,2,2
"169","Spain",1,1,1,1
"170","Sri_Lanka",1,1,2,1
"171","Sudan",1,2,1,2
"172","Suriname",1,2,2,2
"173","Sweden",1,2,1,2
"174","Switzerland",1,2,2,2
"175","Syria",1,1,1,1
"176","Taiwan",1,2,2,2
"177","Tajikistan",1,1,1,1
"178","Tanzania",1,2,1,1
"179","Thailand",1,2,1,1
"180","Togo",1,1,2,2
"181","Tonga",1,1,1,1
"182","Trinidad_and_Tobago",1,1,2,2
"183","Tunisia",1,2,2,2
"184","Turkey",1,2,2,2
"185","Turkmenistan",1,2,1,2
"186","Turks_and_Caicos_Islands",1,1,2,2
"187","Uganda",1,2,2,2
"188","Ukraine",1,2,2,2
"189","United_Arab_Emirates",1,1,1,1
"190","United_Kingdom",1,2,1,1
"191","United_States",1,1,1,1
"192","Uruguay",1,1,2,1
"193","Uzbekistan",1,1,2,2
"194","Venezuela",1,2,1,1
"195","Vietnam",1,2,1,1
"196","Virgin_Islands",1,2,2,1
"197","Yemen",1,1,1,1
"198","Zambia",1,1,1,1
"199","Zimbabwe",1,2,2,2
